20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets         8233.59      8233.59         0.00       315.96227       262.14300       978.94300      1040.38300       656.35 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals       8233.59      8233.59         0.00       315.96227       262.14300       978.94300      1040.38300       656.35 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET      44.543        0.000
GET      78.847        5.000
GET     137.215       10.000
GET     148.479       15.000
GET     167.935       20.000
GET     194.559       25.000
GET     214.015       30.000
GET     229.375       35.000
GET     243.711       40.000
GET     252.927       45.000
GET     262.143       50.000
GET     266.239       52.500
GET     282.623       55.000
GET     299.007       57.500
GET     309.247       60.000
GET     313.343       62.500
GET     317.439       65.000
GET     325.631       67.500
GET     342.015       70.000
GET     350.207       72.500
GET     360.447       75.000
GET     364.543       76.250
GET     374.783       77.500
GET     376.831       78.750
GET     389.119       80.000
GET     391.167       81.250
GET     425.983       82.500
GET     425.983       83.750
GET     442.367       85.000
GET     483.327       86.250
GET     522.239       87.500
GET     557.055       88.125
GET     589.823       88.750
GET     622.591       89.375
GET     643.071       90.000
GET     663.551       90.625
GET     692.223       91.250
GET     708.607       91.875
GET     729.087       92.500
GET     749.567       93.125
GET     770.047       93.750
GET     774.143       94.062
GET     786.431       94.375
GET     794.623       94.688
GET     798.719       95.000
GET     811.007       95.312
GET     819.199       95.625
GET     835.583       95.938
GET     847.871       96.250
GET     860.159       96.562
GET     884.735       96.875
GET     897.023       97.031
GET     901.119       97.188
GET     909.311       97.344
GET     917.503       97.500
GET     921.599       97.656
GET     925.695       97.812
GET     937.983       97.969
GET     942.079       98.125
GET     942.079       98.281
GET     950.271       98.438
GET     954.367       98.516
GET     954.367       98.594
GET     958.463       98.672
GET     966.655       98.750
GET     970.751       98.828
GET     974.847       98.906
GET     978.943       98.984
GET     978.943       99.062
GET     983.039       99.141
GET     991.231       99.219
GET     991.231       99.258
GET     991.231       99.297
GET     991.231       99.336
GET    1003.519       99.375
GET    1003.519       99.414
GET    1011.711       99.453
GET    1015.807       99.492
GET    1019.903       99.531
GET    1019.903       99.570
GET    1023.999       99.609
GET    1023.999       99.629
GET    1023.999       99.648
GET    1023.999       99.668
GET    1023.999       99.688
GET    1023.999       99.707
GET    1023.999       99.727
GET    1023.999       99.746
GET    1028.095       99.766
GET    1028.095       99.785
GET    1028.095       99.805
GET    1028.095       99.814
GET    1028.095       99.824
GET    1032.191       99.834
GET    1032.191       99.844
GET    1036.287       99.854
GET    1040.383       99.863
GET    1040.383       99.873
GET    1040.383       99.883
GET    1040.383       99.893
GET    1040.383       99.902
GET    1040.383       99.907
GET    1040.383       99.912
GET    1040.383       99.917
GET    1040.383       99.922
GET    1040.383       99.927
GET    1040.383       99.932
GET    1044.479       99.937
GET    1044.479       99.941
GET    1044.479       99.946
GET    1044.479       99.951
GET    1044.479       99.954
GET    1044.479       99.956
GET    1044.479       99.958
GET    1044.479       99.961
GET    1044.479       99.963
GET    1044.479       99.966
GET    1044.479       99.968
GET    1044.479       99.971
GET    1044.479       99.973
GET    1044.479       99.976
GET    1048.575       99.977
GET    1048.575      100.000
---
WAIT      0.000      100.000
